Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0,0.45,-1.12,-0.01,80,0,14057100,1546350,37.9,5629275,1.25,1.3,0,0,1.25,1.25,24000,24.7,NIFTY,1833.3,-2.15,1815.55,1835.45,1816.65,1853.85,69975,-2.1,-1500,19650,1,0.99,-1.12,0.45,0
0,0.46,-1.12,-0.01,1087,0,2120100,32025,24.4,163050,1.2,1.3,0,0,1.25,1.25,24050,24.1,NIFTY,2018.4,232.95,1765.55,1785.45,1740.35,1843,150,0,0,0,0,0.99,-1.12,0.46,0
0,0.47,-1.11,-0.01,4674,0,3680775,345225,97,701100,1.25,1.3,0,0,1.25,1.25,24100,23.5,NIFTY,1969.05,233.6,1715.55,1735.45,1683.55,1793.8,150,0,0,0,0,0.99,-1.11,0.47,0
0,0.53,-1.22,-0.01,365,0,2034675,39675,40.8,136950,1.35,1.45,0,0,1.4,1.4,24150,23.2,NIFTY,1785,99.55,1665.55,1685.45,1640.75,1743.5,375,0,0,0,0,0.99,-1.22,0.53,0
0,0.54,-1.21,-0.01,330,0,5679225,230175,36.2,866325,1.35,1.4,0,0,1.4,1.4,24200,22.5,NIFTY,1725,89.55,1615.55,1635.45,1600.05,1693.4,2625,-2.8,-75,300,0,0.99,-1.21,0.54,0
0.0001,0.86,-1.57,-0.01,678,0,16934325,1239675,193.3,1881000,2,2.05,0,0,2.05,2.05,24600,18.3,NIFTY,1243.35,7.9,1215.55,1235.45,1192.45,1293.15,2775,19.4,450,975,0,0.99,-1.57,0.86,0.0001
0.0001,0.94,-1.68,-0.01,361,0,5512050,101550,45.4,325050,2.2,2.25,0,0,2.25,2.25,24650,17.9,NIFTY,1174,-11.45,1165.55,1185.45,1143.2,1243.6,900,9.1,75,225,1,0.99,-1.68,0.94,0.0001
0.0001,0.99,-1.7,-0.01,400,0,17461950,717600,54.2,2040525,2.25,2.35,0,0,2.3,2.3,24700,17.2,NIFTY,1136.9,1.45,1115.55,1135.45,1093.5,1193.75,5100,-2.9,-150,2475,1,0.99,-1.7,0.99,0.0001
0.0001,1.61,-2.26,-0.02,72,0,42357525,858600,13.2,7379850,3.5,3.55,0,0,3.55,3.55,25000,14,NIFTY,837.4,1.95,815.55,835.45,837,840.2,102000,-3.8,-4050,105000,1,0.98,-2.26,1.61,0.0001
